node
1955
16086
2547
174
11537
20965
2153
22388
3786
3356
10886
2852
2722
2637
3662
9381
1273
11317
27750
680
14085
600
6939
3112
23911
7018
1653
2603
6922
271
6509
1887
8501
209
81
1916
26677
2907
7575
101
38022
10578
5050
7922
11096
5408
10466
2495
14041
766
4
7660
18176
5723
197451
40498
3851
53257
3661
7896
7377
12816
4557
159
19782
559
4538
23910
19956
12148
8973
20162
393249
12464
1706
36850
111
11105
59
6762
10881
25826
27
1312
52
3450
3512
36375
2506
56132
38305
32666
1968
681
17956
4130
13476
18515
23905
10326
5078
3778
6356
30
4134
8643
224
786
1741
1213
2843
199578
8890
3323
553
137
1930
8508
88
1835
2200
2701
104
1103
13041
