length
18
9
3
2
19
19
18
19
18
10
15
16
15
16
23
22
12
13
23
21
16
2
3
15
15
14
11
12
16
15
19
18
15
16
30
30
14
13
16
15
16
17
17
18
17
18
15
16
16
17
14
13
16
16
10
9
16
17
30
30
18
19
13
14
16
15
14
13
17
16
17
16
15
16
12
11
17
16
15
16
21
20
10
9
11
10
20
19
19
13
3
2
20
14
15
14
15
14
17
16
14
13
17
16
12
13
11
12
11
12
15
16
21
20
20
21
15
16
26
28
17
18
16
15
16
15
21
20
15
16
18
17
17
18
17
18
15
14
15
14
16
17
14
13
19
20
21
20
20
19
23
20
22
21
23
24
23
24
14
13
17
16
15
14
14
13
19
18
16
15
22
21
14
15
16
17
22
23
13
14
19
18
19
20
19
20
16
15
14
15
17
16
12
13
16
15
11
12
17
16
22
23
13
12
12
13
14
13
17
16
20
22
20
19
19
20
22
21
28
26
21
22
21
22
15
16
17
18
16
15
20
19
20
19
13
12
13
12
18
17
16
17
16
15
20
19
19
18
16
17
19
18
9
10
15
16
15
16
22
23
13
13
21
23
15
16
14
15
11
12
13
14
15
16
10
9
16
15
15
16
17
18
13
12
23
21
15
16
16
14
12
11
13
14
15
16
19
18
15
16
30
30
13
14
16
16
17
16
17
18
18
17
15
16
15
17
14
13
16
15
9
10
16
17
30
30
19
18
14
13
16
15
14
13
17
16
17
17
16
15
12
11
16
17
15
15
18
19
22
20
10
9
11
10
19
20
20
19
14
13
14
15
14
15
16
17
14
13
17
12
3
2
16
11
12
11
15
16
21
20
16
14
26
27
17
16
15
16
16
15
20
21
15
16
18
19
19
18
17
18
14
15
15
14
17
16
14
13
20
19
21
20
20
19
23
20
22
23
24
23
23
24
13
14
16
16
14
15
14
13
19
18
15
16
22
21
15
14
16
17
21
23
13
14
19
18
19
20
19
20
16
15
14
15
16
17
13
12
16
15
11
12
16
17
23
21
13
12
13
12
30
30
14
13
17
16
22
20
20
19
20
19
21
21
28
27
21
22
23
22
16
15
17
18
16
15
23
23
19
20
20
19
13
12
12
13
18
17
16
17
16
15
20
19
19
19
17
16
19
18
9
10
16
15
15
16
23
22
14
12
22
23
16
15
14
15
11
12
14
13
15
16
18
19
15
16
30
30
14
13
16
16
16
17
15
16
16
17
13
14
16
15
10
9
17
16
30
30
19
18
14
13
16
15
13
14
16
16
16
18
16
15
12
11
16
17
15
16
19
18
21
21
9
10
10
11
20
19
19
20
14
13
15
14
15
14
16
17
14
13
12
11
12
11
16
15
21
20
20
21
15
14
17
17
15
16
15
16
21
20
16
15
18
19
19
18
17
18
14
15
14
15
17
16
14
13
20
19
20
21
20
19
23
20
21
22
24
23
24
23
13
14
16
17
15
14
13
14
19
18
16
15
22
21
14
15
16
17
23
22
13
14
19
18
20
19
19
20
16
15
14
15
16
17
13
12
16
15
11
12
16
17
14
15
23
22
14
13
12
13
30
30
13
14
17
16
21
22
20
19
20
19
21
22
22
21
21
23
15
16
17
18
15
16
22
22
20
19
19
20
13
12
12
13
18
17
17
16
14
16
20
19
19
19
16
17
18
19
9
10
15
16
16
15
22
23
14
13
22
23
16
15
15
14
11
12
14
13
16
15
19
18
15
16
30
30
13
14
17
15
16
17
16
15
14
13
16
15
10
9
17
16
30
30
18
19
13
14
16
15
14
13
16
17
16
17
16
15
11
12
17
16
15
16
19
