ip,port,ttl
128.10.18.52,80,243
195.113.161.82,80,243
195.113.161.82,80,239
128.10.18.53,80,243
195.113.161.82,80,243
195.113.161.82,22,224
162.105.205.21,80,234
200.19.159.34,22,221
162.105.205.21,80,224
162.105.205.21,80,224
162.105.205.21,22,240
170.140.119.69,22,235
200.17.202.195,80,235
200.17.202.195,80,237
200.0.206.169,22,243
195.113.161.83,80,243
195.113.161.83,80,243
195.113.161.83,80,243
195.113.161.83,22,239
198.133.224.147,22,240
170.140.119.70,22,238
128.10.18.52,22,239
128.10.18.53,22,235
200.17.202.195,22,235
165.230.49.114,80,49
165.230.49.114,80,235
165.230.49.114,80,48
116.31.116.26,22,235
165.230.49.114,22,117
193.166.167.5,80,237
193.166.167.5,80,237
193.166.167.5,80,237
193.166.167.5,22,48
