ttl
235
240
240
236
231
240
233
235
235
233
232
236
234
231
236
233
236
236
234
235
234
233
233
236
231
233
233
234
239
231
232
231
238
233
234
229
232
231
231
236
235
235
234
232
229
228
232
232
235
236
239
232
232
240
232
240
231
233
236
236
233
234
234
234
234
233
232
233
234
228
234
233
231
231
234
235
231
231
232
231
226
228
228
234
228
234
228
237
237
229
228
228
237
231
234
235
232
236
232
233
232
51
